product image url,product name,product discription,product price,product discount price,product per off
,"Noise Pro 5 Max 1.96 AMOLED Display, Post Workout Analy...",Sponsored,"₹4,999","₹9,999",50% off
,"Pebble Celia 1.32"" HD Infinite Display, BT Calling, Wom...",Sponsored,"₹2,499","₹7,499",66% off
,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Blue Strap, Regular","₹1,199","₹5,999",80% off
,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Black Strap, Regular","₹1,399","₹5,999",76% off
,Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"Black Strap, Regular","₹1,299","₹6,999",81% off
,"Noise Thrill with 2"" Display with 3 Armored Layer Rugge...","Black Strap, Regular","₹1,099","₹6,999",84% off
,"Noise Crew 1.38"" Round Display with Bluetooth Calling, ...","Black Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Pro 5 1.85 AMOLED Always-on Display, DIY Watch fa...",Sponsored,"₹3,999","₹9,999",60% off
,"Noise Crew 1.38"" Round Display with Bluetooth Calling, ...","Grey Strap, Regular","₹1,399","₹4,999",72% off
,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","Midnight Gold Strap, Regular","₹1,199","₹4,999",76% off
,"Noise Pro 5 Max 1.96 AMOLED Display, Post Workout Analy...",Sponsored,"₹4,499","₹9,999",55% off
,"Noise Pro 5 1.85 AMOLED Always-on Display, DIY Watch fa...",Sponsored,"₹3,999","₹9,999",60% off
,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","Green Strap, Regular","₹1,199","₹4,999",76% off
,"Noise Crew 1.38"" Display with Bluetooth Calling, Women'...","Pink Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","Jet Black Strap, Regular","₹1,199","₹4,999",76% off
,Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"Pink Strap, Regular","₹1,299","₹6,999",81% off
,"Pebble Celia 1.32"" HD Infinite Display, BT Calling, Wom...",Sponsored,"₹2,499","₹7,499",66% off
,"Noise Venture 1.39 inch TruView Display, Rugged Design ...","Black Strap, Regular","₹1,499","₹5,999",75% off
,"Noise Thrive 1.85'' Display with Bluetooth Calling, Mus...","Black Strap, Regular","₹1,299","₹5,999",78% off
,Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"Green Strap, Regular","₹1,299","₹6,999",81% off
,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Deep Wine Strap, Regular","₹1,399","₹5,999",76% off
,"Noise Thrive 1.85'' Display with Bluetooth Calling, Mus...","Grey Strap, Regular","₹1,299","₹5,999",78% off
,"Noise Icon 2 1.8'' Display with Bluetooth Calling, Wome...","Pink Strap, Regular","₹1,199","₹5,999",80% off
,Noise Evolve 4 1.46 AMOLED Always On Display with Premi...,"Jet Black Strap, Regular","₹2,799","₹7,999",65% off
,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Glossy Black Strap, Regular","₹1,199","₹5,999",80% off
,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","Blue Strap, Regular","₹1,199","₹4,999",76% off
,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Green Strap, Regular","₹1,199","₹5,999",80% off
,"Noise Mettle 1.4'' display, Stainless Steel finish with...","Black Strap, Regular","₹2,199","₹7,999",72% off
,Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"Deep Wine Strap, Regular","₹1,299","₹6,999",81% off
,"Noise Crew 1.38"" Round Display with Bluetooth Calling, ...","Green Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Icon 2 Vista Bluetooth Calling with 1.78"" AMOLED ...","Active Black Strap, Regular","₹1,299","₹6,999",81% off
,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, W...","Pink Strap, Regular","₹1,199","₹4,999",76% off
,Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"Blue Strap, Regular","₹1,299","₹6,999",81% off
,"Noise Thrill with 2"" Display with 3 Armored Layer Rugge...","Brown Strap, Regular","₹1,099","₹6,999",84% off
,"Noise Evolve 3 1.43"" AMOLED Always-On Display with Blue...","Vintage Brown Strap, Regular","₹2,199","₹6,999",68% off
,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Meta...","Navy Blue Strap, Regular","₹1,399","₹7,999",82% off
,Noise Icon 2 Elite Edition 1.8'' Display with Metallic ...,"Elite Black Strap, Regular","₹1,599","₹6,999",77% off
,Noise Force Plus 1.46'' AMOLED Always-On Display with B...,"Black Strap, Regular","₹2,199","₹7,999",72% off
,"Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...","Space Blue Strap, Regular","₹2,199","₹6,999",68% off
,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Meta...","Metallic Black Strap, Regular","₹1,399","₹7,999",82% off
,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","Deep Wine Strap, Regular","₹1,199","₹4,999",76% off
,"Noise Thrive 1.85'' Display with Bluetooth Calling, Mus...","Blue Strap, Regular","₹1,299","₹5,999",78% off
,"Noise Evolve 3 1.43"" AMOLED Always-On Display with Blue...","Space Blue Strap, Regular","₹2,199","₹6,999",68% off
,Noise Icon 2 Elite Edition 1.8'' Display with Metallic ...,"Silver Strap, Regular","₹1,599","₹6,999",77% off
,"Noise Crew Pro BT Calling with 1.4"" display, Metal Fini...","Black Strap, Regular","₹1,699","₹6,999",75% off
,"Noise Caliber Go 1.69"" HD Display with 30 Sports Modes,...","Black Strap, Regular","₹1,299","₹3,999",67% off
,"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","Black Strap, Regular","₹2,999","₹7,999",62% off
,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"Grey Strap, Regular","₹1,199","₹5,999",80% off
,"Noise Evolve 3 1.43"" AMOLED Always-On Display with Blue...","Silver Grey Strap, Regular","₹2,199","₹6,999",68% off
,"Noise Thrill with 2"" Display with 3 Armored Layer Rugge...","Camo Grey Strap, Regular","₹1,099","₹6,999",84% off
,"Noise Mettle 1.4'' display, Stainless Steel finish with...","Silver Strap, Regular","₹2,199","₹7,999",72% off
,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","Grey Strap, Regular","₹1,199","₹4,999",76% off
,"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","Green Strap, Regular","₹2,999","₹7,999",62% off
,"Noise Evolve 3 1.43"" AMOLED Always-On Display with Blue...","Carbon Black Strap, Regular","₹2,199","₹6,999",68% off
,"Noise Thrive 1.85'' Display with Bluetooth Calling, Mus...","Blue Strap, Regular","₹1,299","₹5,999",78% off
,Noise Vision 2 Buzz with 1.7'' AMOLED Always On Display...,"Brown Strap, Regular","₹1,799","₹7,999",77% off
,"Noise Icon 3 Plus with 2"" HD Display, Metal Dial, Funct...","Elite Black Strap, Regular","₹1,399","₹6,999",80% off
,"Noise Fuse 1.38'' Round Display with Bluetooth Calling,...","Pink Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Vision 3 with 1.96"" AMOLED display with Thin Beze...","Metallic Black Strap, Regular","₹3,499","₹7,999",56% off
,Noise Force Plus 1.46'' AMOLED Always-On Display with B...,"Blue Strap, Regular","₹2,199","₹7,999",72% off
